label	column_type	phase	case	iteration	wall_ms	server_ms	rows	bytes	result	result_sha256
v1_jsonb_control	jsonb	load	stream_load	1	2126.148	2092	1000000	480778277	Success	-
v1_jsonb_control	jsonb	load	stream_load	2	2007.212	1991	1000000	480778277	Success	-
v1_jsonb_control	jsonb	load	stream_load	3	1935.686	1919	1000000	480778277	Success	-
v1_jsonb_control	jsonb	query	root	1	114.141	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v1_jsonb_control	jsonb	query	root	2	117.194	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v1_jsonb_control	jsonb	query	root	3	121.174	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v1_jsonb_control	jsonb	query	root	4	108.309	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v1_jsonb_control	jsonb	query	root	5	104.541	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v1_jsonb_control	jsonb	query	shallow_path	1	67.549	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v1_jsonb_control	jsonb	query	shallow_path	2	70.255	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v1_jsonb_control	jsonb	query	shallow_path	3	69.619	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v1_jsonb_control	jsonb	query	shallow_path	4	98.632	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v1_jsonb_control	jsonb	query	shallow_path	5	65.930	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v1_jsonb_control	jsonb	query	deep_path	1	69.045	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v1_jsonb_control	jsonb	query	deep_path	2	71.633	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
