phase	run	engine	wall_ms	result	result_sha256	accepted
before	1	ColumnVariantV2	4100	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	1	JSONB	410	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
before	2	ColumnVariantV2	4150	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	2	JSONB	420	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
before	3	ColumnVariantV2	4430	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	3	JSONB	430	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
before	4	ColumnVariantV2	4150	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	4	JSONB	410	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
before	5	ColumnVariantV2	4010	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	5	JSONB	410	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
before	6	ColumnVariantV2	4480	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	6	JSONB	430	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
before	7	ColumnVariantV2	3950	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
before	7	JSONB	430	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
optimized_a	1	ColumnVariantV2	3957	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
optimized_a	1	JSONB	422	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
optimized_a	2	ColumnVariantV2	3963	4797090110	83d8bd6127eb9defc1da4a9518e96b1a0870d6d6ae3f4ef83fe73f80c4b14a9e	true
optimized_a	2	JSONB	428	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032	true
