kind	case_id	ordinal	row	path	storage_type	field_type	raw	observation
assembled	bucketed_sparse	-1	0	$	-	-	-	{"cold_00":10,"cold_01":false,"cold_02":"b1_0","hot":0}
assembled	bucketed_sparse	-1	1	$	-	-	-	{"cold_00":11,"cold_01":true,"cold_02":"b1_1","hot":1}
assembled	bucketed_sparse	-1	10	$	-	-	-	{"hot":10}
assembled	bucketed_sparse	-1	11	$	-	-	-	{"hot":11}
assembled	bucketed_sparse	-1	2	$	-	-	-	{"cold_00":12,"cold_01":false,"cold_02":"b1_2","hot":2}
assembled	bucketed_sparse	-1	3	$	-	-	-	{"cold_00":13,"cold_01":true,"cold_02":"b1_3","hot":3}
assembled	bucketed_sparse	-1	4	$	-	-	-	{"cold_00":14,"cold_01":false,"cold_02":"b1_4","hot":4}
assembled	bucketed_sparse	-1	5	$	-	-	-	{"cold_00":15,"cold_01":true,"cold_02":"b1_5","hot":5}
assembled	bucketed_sparse	-1	6	$	-	-	-	{"cold_00":16,"cold_01":false,"cold_02":"b1_6","hot":6}
assembled	bucketed_sparse	-1	7	$	-	-	-	{"cold_00":17,"cold_02":"b1_7","hot":7}
assembled	bucketed_sparse	-1	8	$	-	-	-	{"cold_00":18,"hot":8}
assembled	bucketed_sparse	-1	9	$	-	-	-	{"hot":9}
assembled	doc	-1	0	$	-	-	-	{"flag":false,"id":0,"name":"n0","nested":{"x":100},"ratio":0.5}
assembled	doc	-1	1	$	-	-	-	{"flag":true,"id":1,"name":"n1","nested":{"x":101},"ratio":1.5}
assembled	doc	-1	2	$	-	-	-	{"flag":false,"id":2,"name":"n2","nested":{"x":102},"ratio":2.5}
assembled	doc	-1	3	$	-	-	-	{"flag":true,"id":3,"name":"n3","nested":{"x":103},"ratio":3.5}
assembled	doc	-1	4	$	-	-	-	{"flag":false,"id":4,"name":"n4","nested":{"x":104},"ratio":4.5}
assembled	doc	-1	5	$	-	-	-	{"flag":true,"id":5,"name":"n5","nested":{"x":105},"ratio":5.5}
assembled	doc	-1	6	$	-	-	-	{"flag":false,"id":6,"name":"n6","nested":{"x":106},"ratio":6.5}
assembled	doc	-1	7	$	-	-	-	{"flag":true,"id":7,"name":"n7","nested":{"x":107},"ratio":7.5}
assembled	ordinary_sparse	-1	0	$	-	-	-	{"array":[0,1],"collision":2000,"flag":false,"hot":0,"lct_double":0,"lct_int":1,"object":{"x":0},"text":"s0"}
assembled	ordinary_sparse	-1	1	$	-	-	-	{"array":[1,2],"collision":2001,"flag":true,"hot":1,"lct_double":1.5,"lct_int":2,"object":{"x":1},"text":"s1"}
assembled	ordinary_sparse	-1	10	$	-	-	-	{"collision":2010,"hot":10}
assembled	ordinary_sparse	-1	11	$	-	-	-	{"hot":11}
assembled	ordinary_sparse	-1	12	$	-	-	-	42
assembled	ordinary_sparse	-1	2	$	-	-	-	{"array":[2,3],"collision":2002,"flag":false,"hot":2,"lct_double":2,"lct_int":3,"object":{"x":2},"text":"s2"}
assembled	ordinary_sparse	-1	3	$	-	-	-	{"array":[3,4],"collision":2003,"flag":true,"hot":3,"lct_double":3.5,"lct_int":4,"object":{"x":3},"text":"s3"}
assembled	ordinary_sparse	-1	4	$	-	-	-	{"array":[4,5],"collision":2004,"flag":false,"hot":4,"lct_double":4,"lct_int":5,"object":{"x":4},"text":"s4"}
assembled	ordinary_sparse	-1	5	$	-	-	-	{"array":[5,6],"collision":2005,"flag":true,"hot":5,"lct_double":5.5,"lct_int":6,"text":"s5"}
assembled	ordinary_sparse	-1	6	$	-	-	-	{"collision":2006,"flag":false,"hot":6,"lct_double":6,"lct_int":7,"text":"s6"}
assembled	ordinary_sparse	-1	7	$	-	-	-	{"collision":2007,"flag":true,"hot":7,"lct_double":7.5,"lct_int":8}
assembled	ordinary_sparse	-1	8	$	-	-	-	{"collision":2008,"hot":8,"lct_double":8,"lct_int":9}
assembled	ordinary_sparse	-1	9	$	-	-	-	{"collision":2009,"hot":9,"lct_int":10}
cell	bucketed_sparse	-1	0	cold_00	-	7	070a00000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	0	cold_01	-	24	1800	decoded=BOOL
