case_id	row	path	source_type	value
ordinary_sparse	0	$	JSONB	{"collision":1000,"root_only":0}
ordinary_sparse	0	array	ARRAY	[0,1]
ordinary_sparse	0	collision	BIGINT	2000
ordinary_sparse	0	flag	BOOL	false
ordinary_sparse	0	hot	BIGINT	0
ordinary_sparse	0	lct_double	INT	0
ordinary_sparse	0	lct_int	TINYINT	1
ordinary_sparse	0	nullish	NULL	null
ordinary_sparse	0	object	JSONB	{"x":0}
ordinary_sparse	0	text	STRING	s0
ordinary_sparse	1	$	JSONB	{"collision":1001,"root_only":1}
ordinary_sparse	1	array	ARRAY	[1,2]
ordinary_sparse	1	collision	BIGINT	2001
ordinary_sparse	1	flag	BOOL	true
ordinary_sparse	1	hot	BIGINT	1
ordinary_sparse	1	lct_double	DOUBLE	1.5
ordinary_sparse	1	lct_int	SMALLINT	2
ordinary_sparse	1	nullish	NULL	null
ordinary_sparse	1	object	JSONB	{"x":1}
ordinary_sparse	1	text	STRING	s1
ordinary_sparse	10	$	JSONB	{"collision":1010,"root_only":10}
ordinary_sparse	10	collision	BIGINT	2010
ordinary_sparse	10	hot	BIGINT	10
ordinary_sparse	11	$	JSONB	{"collision":1011,"root_only":11}
ordinary_sparse	11	hot	BIGINT	11
ordinary_sparse	12	$	JSONB	42
ordinary_sparse	2	$	JSONB	{"collision":1002,"root_only":2}
ordinary_sparse	2	array	ARRAY	[2,3]
ordinary_sparse	2	collision	BIGINT	2002
ordinary_sparse	2	flag	BOOL	false
ordinary_sparse	2	hot	BIGINT	2
ordinary_sparse	2	lct_double	INT	2
ordinary_sparse	2	lct_int	INT	3
ordinary_sparse	2	nullish	NULL	null
ordinary_sparse	2	object	JSONB	{"x":2}
ordinary_sparse	2	text	STRING	s2
ordinary_sparse	3	$	JSONB	{"collision":1003,"root_only":3}
ordinary_sparse	3	array	ARRAY	[3,4]
ordinary_sparse	3	collision	BIGINT	2003
ordinary_sparse	3	flag	BOOL	true
ordinary_sparse	3	hot	BIGINT	3
ordinary_sparse	3	lct_double	DOUBLE	3.5
ordinary_sparse	3	lct_int	BIGINT	4
ordinary_sparse	3	nullish	NULL	null
ordinary_sparse	3	object	JSONB	{"x":3}
ordinary_sparse	3	text	STRING	s3
ordinary_sparse	4	$	JSONB	{"collision":1004,"root_only":4}
ordinary_sparse	4	array	ARRAY	[4,5]
ordinary_sparse	4	collision	BIGINT	2004
ordinary_sparse	4	flag	BOOL	false
ordinary_sparse	4	hot	BIGINT	4
ordinary_sparse	4	lct_double	INT	4
ordinary_sparse	4	lct_int	TINYINT	5
ordinary_sparse	4	object	JSONB	{"x":4}
ordinary_sparse	4	text	STRING	s4
ordinary_sparse	5	$	JSONB	{"collision":1005,"root_only":5}
ordinary_sparse	5	array	ARRAY	[5,6]
ordinary_sparse	5	collision	BIGINT	2005
ordinary_sparse	5	flag	BOOL	true
ordinary_sparse	5	hot	BIGINT	5
ordinary_sparse	5	lct_double	DOUBLE	5.5
ordinary_sparse	5	lct_int	SMALLINT	6
ordinary_sparse	5	text	STRING	s5
ordinary_sparse	6	$	JSONB	{"collision":1006,"root_only":6}
ordinary_sparse	6	collision	BIGINT	2006
ordinary_sparse	6	flag	BOOL	false
ordinary_sparse	6	hot	BIGINT	6
ordinary_sparse	6	lct_double	INT	6
ordinary_sparse	6	lct_int	INT	7
ordinary_sparse	6	text	STRING	s6
ordinary_sparse	7	$	JSONB	{"collision":1007,"root_only":7}
ordinary_sparse	7	collision	BIGINT	2007
ordinary_sparse	7	flag	BOOL	true
ordinary_sparse	7	hot	BIGINT	7
ordinary_sparse	7	lct_double	DOUBLE	7.5
ordinary_sparse	7	lct_int	BIGINT	8
ordinary_sparse	8	$	JSONB	{"collision":1008,"root_only":8}
ordinary_sparse	8	collision	BIGINT	2008
ordinary_sparse	8	hot	BIGINT	8
ordinary_sparse	8	lct_double	INT	8
ordinary_sparse	8	lct_int	TINYINT	9
ordinary_sparse	9	$	JSONB	{"collision":1009,"root_only":9}
ordinary_sparse	9	collision	BIGINT	2009
ordinary_sparse	9	hot	BIGINT	9
ordinary_sparse	9	lct_int	SMALLINT	10
doc	0	$	JSON	{"flag":false,"id":0,"name":"n0","nested":{"x":100},"nullish":null,"ratio":0.5}
doc	1	$	JSON	{"flag":true,"id":1,"name":"n1","nested":{"x":101},"nullish":null,"ratio":1.5}
doc	2	$	JSON	{"flag":false,"id":2,"name":"n2","nested":{"x":102},"nullish":null,"ratio":2.5}
doc	3	$	JSON	{"flag":true,"id":3,"name":"n3","nested":{"x":103},"nullish":null,"ratio":3.5}
doc	4	$	JSON	{"flag":false,"id":4,"name":"n4","nested":{"x":104},"nullish":null,"ratio":4.5}
