# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
#
# variant-semantics-internal-v1
# base_head=e8a13279055752c7c698b772adecda3e6f5673a0
# columns=case_id\tsource\tinput\tconfig\tpath\tpath_parts\tfield_shape\tobservation
codec_empty_array	VariantBatchBuilder/VariantField	start_array();finish()	VARIANT_ENCODING_VERSION=1	$	[]	VARIANT(metadata_hex=110000;value_hex=030000;field_hex=03000000110000030000)	metadata_size=3;value_size=3;field_size=10;root_basic_type=ARRAY
codec_empty_object	VariantBatchBuilder/VariantField	start_object();finish()	VARIANT_ENCODING_VERSION=1	$	[]	VARIANT(metadata_hex=110000;value_hex=020000;field_hex=03000000110000020000)	metadata_size=3;value_size=3;field_size=10;root_basic_type=OBJECT
codec_null	VariantBatchBuilder/VariantField	builder.add_null()	VARIANT_ENCODING_VERSION=1	$	[]	VARIANT(metadata_hex=110000;value_hex=00;field_hex=0300000011000000)	metadata_size=3;value_size=1;field_size=8;root_basic_type=PRIMITIVE
depth_codec_constant	be/src/core/value/variant/variant_parquet_encoding.h	VARIANT_MAX_NESTING_DEPTH	compiled constant	<none>	[]	not_applicable	value=128
depth_config_source_scan	be/src/common/config.h|be/src/common/config.cpp	variant_max_depth	exact macro/token regex scan	<none>	[]	not_applicable	declaration_matches=0;definition_matches=0;config_h_token_matches=0;config_cpp_token_matches=0
depth_json_data_parser_128	JSONDataParser<SimdJSONParser>::parse	nested_array_depth=128	fresh parser;deprecated_enable_flatten_nested=false	$	[]	not_collected	parse_success=true;records=1
depth_json_data_parser_129	JSONDataParser<SimdJSONParser>::parse	nested_array_depth=129	fresh parser;deprecated_enable_flatten_nested=false	$	[]	not_collected	parse_success=true;records=1
depth_simdjson_constant	simdjson/base.h	simdjson::DEFAULT_MAX_DEPTH	compiled dependency constant	<none>	[]	not_applicable	value=1024
depth_simdjson_parse_1023	SimdJSONParser::parse	nested_array_depth=1023	fresh parser	$	[]	not_collected	parse_success=true
depth_simdjson_parse_1024	SimdJSONParser::parse	nested_array_depth=1024	fresh parser	$	[]	not_collected	parse_success=false
